component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
你好,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\新建知识库\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmpme6hob5w.json,知识库问答,,7910516343944db4a1a0d2984dad6b47,2023-08-03 11:26:41.719879
你好,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\Mineral Resources Database\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmp4gney4x0.json,Bing搜索问答,,2309c386ae3d4cdfbddf057323721295,2023-08-03 13:45:53.578094
你好,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\新建知识库\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmp6dqwey2a.json,知识库问答,,5ecd6ea0b7a549b3b86210b65bd2d30f,2023-08-03 14:47:58.984896
为什么你的模型没有加载成功,,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmpp_38huft.json,知识库问答,,5ecd6ea0b7a549b3b86210b65bd2d30f,2023-08-03 14:53:39.350736
为什么你的模型没有加载成功,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\Mineral Resources Database\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmpnt_m7w_y.json,Bing搜索问答,,5ecd6ea0b7a549b3b86210b65bd2d30f,2023-08-03 14:54:30.426454
世界主要工业金属矿物有哪些,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\Mineral Resources Database\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmpw_eadxtu.json,LLM 对话,,6d6518609ed94ebd844150e86c2108e5,2023-08-03 15:27:41.113159
世界主要工业金属矿物有哪些,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\Mineral Resources Database\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmp_8gr2eev.json,Bing搜索问答,,6d6518609ed94ebd844150e86c2108e5,2023-08-03 15:35:43.268193
世界常见工业矿产种类,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\Mineral Resources Database\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmpujxl9oux.json,LLM 对话,,ec30a0aaa52d4b73bbf9f43c31869f1f,2023-08-05 08:18:42.053917
你好,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\新建知识库\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmphr76_622.json,知识库问答,,dc56b5fea0de4e0ab3e1e386a3ef83ef,2023-08-05 11:56:56.562966
世界主要工业矿产资源有哪些,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\新建知识库\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmp1eiq0kca.json,知识库问答,,20c116888f154d839650f4cf7a198200,2023-08-05 16:15:22.932143
世界主要工业矿产资源有哪些,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\Mineral Resources\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmp1kv4hgto.json,知识库问答,,20c116888f154d839650f4cf7a198200,2023-08-05 16:18:53.904816
你好,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\新建知识库\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmpzd7fenme.json,知识库问答,,41b90699c8d24ecdbfb7e75278d41bf6,2023-08-07 09:26:20.064782
 我该如何讲word文件上传到你的知识库,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\新建知识库\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmp8zifb38f.json,知识库问答,,07c09e15cb4244309c803c92b51d6b33,2023-08-07 09:31:49.966772
我该如何讲pdf文件上传到你的知识库,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\新建知识库\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmp1r1b77xd.json,知识库问答,,07c09e15cb4244309c803c92b51d6b33,2023-08-07 09:32:30.747658
那么为何我无法上传，可能的原因有？,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\新建知识库\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmpulkgw3bc.json,知识库问答,,07c09e15cb4244309c803c92b51d6b33,2023-08-07 09:33:08.596300
pdf文件无法上传到你的知识库，可能的原因是？,E:\ChatGLM_Project\langchain-ChatGLM-master\knowledge_base\新建知识库\vector_store,E:\ChatGLM_Project\langchain-ChatGLM-master\flagged\component 2\tmpowqbkh2d.json,知识库问答,,07c09e15cb4244309c803c92b51d6b33,2023-08-07 09:33:54.284796
